0	18	64	67	60	56	63	54	49	51	61	55	53	47	47	58	55	66	16	66	51	57	59	64	51	55	20	59	21	18	65	58	45	48	63	60	54	65	58	56	59	63	61	62	52	70	19	55	68	60	67	12	46	62	57	25	13	62	65	60	60	67	60	62	61	69	60	51	21	59	52	58	56	59	39	64	20	59	67	66	52	18	55	55	60	47	50	62	51	60	63	25	37	46	57	19	56	55	54	53	58	58	67	51	15	56	63	62	52	59	50	18	58	67	51	13	60	12	55	61	47	57	58	59	65	61	59	54	20	61	51	64	58	58	49	65	59	66	72	55	23	48	60	21	55	64	56	61	60	72	59	62	58	56	56	66	66	58	58	57	61	61	65	63	58	68	64	57	51	57	67	39	66	60	53	59	64	52	59	60	63	61	48	55	70	49	20	67	62	62	53	20	15	60	67	48	59	19	16	51
18	0	67	70	64	62	66	50	42	46	65	58	48	45	42	61	50	67	16	70	46	61	67	67	48	46	17	62	24	23	68	63	39	42	65	63	48	68	62	53	62	66	66	66	44	70	27	50	69	65	70	15	48	66	62	31	14	64	68	62	64	65	58	66	64	73	58	47	17	63	45	52	50	62	29	67	29	64	67	67	48	22	59	50	56	38	46	64	46	62	53	27	30	49	62	20	62	51	47	49	62	64	61	46	17	52	66	64	56	53	46	24	62	68	45	20	65	18	52	56	44	61	61	62	69	64	63	48	19	65	46	68	63	55	43	61	55	67	70	50	17	42	64	25	51	67	51	66	65	71	62	67	61	55	61	69	68	62	60	58	56	64	70	67	62	66	62	61	49	61	69	35	68	63	48	63	66	48	63	61	66	67	42	58	63	43	15	69	58	66	47	20	18	64	70	44	62	19	14	46
64	67	0	28	14	16	10	71	70	72	11	20	73	71	68	17	73	14	65	16	71	13	55	10	70	70	66	15	62	61	12	22	71	67	12	11	70	10	15	76	19	13	12	15	71	33	61	70	14	12	11	64	77	12	20	64	65	17	13	11	14	71	72	15	14	37	68	76	65	14	72	76	73	10	73	11	65	14	12	15	69	63	15	69	74	67	73	20	70	12	85	64	76	38	13	68	15	69	77	69	14	20	77	72	59	69	13	10	17	71	69	62	12	12	71	62	23	63	75	81	68	15	11	15	21	14	14	73	63	18	79	8	15	79	70	72	77	29	29	73	68	74	15	64	68	10	67	15	18	87	15	13	20	69	14	31	18	13	20	17	76	21	22	20	15	83	71	13	71	16	12	71	16	16	67	14	35	72	15	14	23	23	66	17	83	68	64	14	78	13	70	67	64	13	18	69	12	62	60	76
67	70	28	0	32	29	28	73	75	78	27	36	79	78	73	31	78	30	66	38	75	28	58	29	76	70	70	34	65	66	31	45	74	71	31	30	76	33	31	82	33	31	35	33	76	28	64	74	32	30	31	67	75	34	35	68	68	32	22	29	29	82	79	27	24	38	73	81	67	28	77	81	78	31	73	29	67	29	30	26	74	68	33	76	82	66	78	32	75	30	87	66	78	41	32	72	34	74	84	76	31	35	85	79	63	74	37	27	34	78	73	64	32	29	77	66	39	67	81	87	71	35	30	31	23	28	32	79	67	33	83	29	31	81	76	79	80	38	43	77	68	80	34	68	74	28	71	33	29	92	31	35	35	74	30	28	19	34	22	30	80	26	42	27	28	90	74	31	75	30	30	72	32	33	73	29	53	77	28	22	38	30	71	27	91	75	70	21	84	30	73	68	69	30	34	73	30	66	61	79
60	64	14	32	0	14	17	75	73	76	13	14	76	75	72	14	77	22	61	18	75	12	49	16	75	71	62	14	58	57	10	21	74	71	12	8	74	13	15	80	9	15	15	10	74	31	60	73	19	15	19	60	70	16	16	57	61	15	15	13	14	75	78	13	16	43	74	79	63	17	76	80	77	12	71	15	63	12	17	21	73	57	18	73	79	61	77	16	73	12	86	60	78	34	11	65	17	73	80	72	15	20	80	75	57	73	14	13	17	75	73	58	11	17	74	59	20	59	79	82	72	14	12	10	23	17	12	77	60	16	81	12	17	83	73	77	82	36	32	76	64	77	19	61	72	13	72	17	19	93	12	19	23	73	16	27	20	14	21	17	79	23	23	20	14	84	77	14	72	14	17	74	16	13	70	18	31	76	12	18	19	24	69	20	81	71	60	18	82	15	75	65	61	13	17	71	13	60	57	79
56	62	16	29	14	0	14	72	72	74	12	18	74	73	70	17	75	25	59	22	73	12	45	19	71	69	60	17	55	53	14	24	73	70	17	14	73	17	13	77	18	19	13	15	73	34	53	71	23	11	20	57	72	16	11	53	58	19	19	18	14	72	75	12	15	37	70	78	60	13	74	78	75	13	70	21	57	11	23	23	71	54	17	72	76	63	74	17	72	14	87	58	76	34	12	61	12	71	79	70	17	14	80	73	53	72	18	18	15	73	71	53	17	21	73	56	18	55	76	82	70	13	16	14	17	19	12	75	58	14	80	15	19	80	72	76	80	37	37	75	63	76	15	56	70	14	69	12	14	91	16	17	20	70	13	27	21	13	20	17	77	22	23	17	9	84	73	14	70	14	20	71	21	16	69	11	40	72	12	18	22	18	67	16	82	70	59	22	80	11	72	62	57	11	20	70	17	56	54	75
63	66	10	28	17	14	0	70	69	72	9	20	72	71	69	17	72	17	63	16	69	12	49	15	68	68	64	15	59	58	17	22	70	66	13	12	69	11	11	75	20	12	11	17	70	35	58	69	17	7	14	62	81	11	16	60	63	14	14	14	12	70	70	14	10	39	66	76	64	11	71	74	72	9	72	18	63	12	16	18	67	61	15	67	71	63	71	13	70	13	84	61	76	39	12	66	12	68	76	67	14	17	76	71	57	67	13	12	16	70	67	59	13	12	70	62	18	61	73	81	68	12	13	18	16	16	14	72	61	17	78	13	14	80	69	71	75	30	34	72	66	73	16	62	67	8	66	12	16	87	12	14	21	67	11	25	16	11	16	14	74	16	25	14	11	83	71	11	70	11	13	71	14	12	67	10	38	69	12	14	20	16	65	18	81	68	64	17	76	12	69	68	62	10	14	68	13	60	58	74
54	50	71	73	75	72	70	0	18	20	71	69	18	18	27	70	19	68	50	77	19	71	82	71	16	28	46	72	55	55	76	77	18	16	69	70	19	75	71	49	77	75	73	74	23	72	51	18	71	74	73	47	65	72	73	55	55	73	73	70	73	53	25	77	73	74	27	27	46	69	22	16	16	71	57	74	54	70	74	70	16	53	64	25	25	65	23	73	13	69	52	61	43	64	71	53	73	16	26	20	68	73	30	19	49	22	73	69	67	25	19	52	71	75	19	53	76	52	20	49	14	69	70	68	76	70	72	21	50	76	25	76	66	37	16	35	23	73	79	15	53	21	71	51	20	75	12	74	70	43	68	72	70	18	67	78	74	70	65	66	18	66	79	75	69	44	22	69	26	71	75	28	76	70	24	70	76	16	73	66	72	74	23	65	47	18	54	71	29	72	21	48	52	70	78	15	70	45	49	38
49	42	70	75	73	72	69	18	0	11	70	66	12	16	20	66	12	66	44	74	10	69	79	69	16	25	40	69	48	47	75	71	14	7	68	68	10	72	69	41	73	71	71	72	11	74	45	15	69	72	72	42	67	70	70	51	48	70	72	67	70	44	21	75	70	78	24	23	38	67	11	14	10	69	50	72	51	69	71	68	11	46	63	17	21	56	11	69	12	67	49	56	34	63	68	45	69	12	16	14	66	70	32	9	43	16	70	68	64	19	11	47	68	71	11	48	72	46	16	42	18	66	67	68	76	68	70	11	42	73	21	75	64	36	9	27	21	68	75	15	46	12	70	46	16	73	16	72	71	41	65	70	69	22	65	76	72	67	63	63	21	66	78	73	68	39	28	66	22	68	73	25	73	67	18	69	71	13	71	65	70	74	10	63	43	11	46	72	23	71	13	45	44	68	76	16	67	39	43	31
51	46	72	78	76	74	72	20	11	0	73	68	11	17	14	69	9	69	49	78	10	72	80	72	17	32	45	71	53	51	77	74	18	12	70	71	13	75	71	42	76	73	73	75	14	76	50	12	71	74	75	45	69	72	73	54	51	72	74	70	72	46	18	77	73	78	21	15	44	71	11	14	10	71	56	75	55	71	73	72	12	50	65	17	21	58	10	72	12	70	54	60	35	64	70	49	72	11	12	13	69	73	30	15	47	13	73	71	65	16	12	52	70	74	16	52	75	49	16	44	22	69	69	71	78	71	73	7	48	76	20	77	66	33	12	22	24	71	77	14	51	12	73	50	13	75	18	76	73	35	68	71	71	20	68	78	75	69	66	66	21	69	79	74	70	34	28	69	17	70	75	29	76	70	18	72	71	15	74	67	73	77	13	66	42	15	52	75	18	74	11	49	48	71	78	18	69	43	49	31
